Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2025-04-04,Back Extension,Back,120.0,lbs,15,,,,""
2025-04-04,Back Extension,Back,125.0,lbs,15,,,,""
2025-04-04,Back Extension,Back,120.0,lbs,12,,,,""
2025-04-04,Rotary Torso,Back,70.0,lbs,15,,,,""
2025-04-04,Ab Crunch Machine,Abs,100.0,lbs,11,,,,""
2025-04-11,Lat Pulldown,Back,90.0,lbs,12,,,,""
2025-04-11,Lat Pulldown,Back,90.0,lbs,7,,,,""
2025-04-11,Lat Pulldown,Back,90.0,lbs,7,,,,""
2025-04-11,Back Extension,Back,120.0,lbs,15,,,,""
2025-04-11,Back Extension,Back,120.0,lbs,11,,,,""
2025-04-11,Back Extension,Back,120.0,lbs,11,,,,""
2025-04-11,Dumbbell Curl,Biceps,25.0,lbs,11,,,,""
2025-04-11,Dumbbell Curl,Biceps,25.0,lbs,6,,,,""
2025-04-11,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-08-25,Flat Barbell Bench Press,Chest,95.0,lbs,8,,,,""
2025-08-25,Flat Barbell Bench Press,Chest,95.0,lbs,5,,,,""
2025-08-25,Flat Barbell Bench Press,Chest,95.0,lbs,3,,,,""
2025-08-25,Cable Overhead Triceps Extension,Triceps,40.0,lbs,7,,,,""
2025-08-25,Cable Overhead Triceps Extension,Triceps,40.0,lbs,6,,,,""
2025-08-25,Cable Overhead Triceps Extension,Triceps,40.0,lbs,5,,,,""
2025-08-25,Lat Pulldown,Back,70.0,lbs,10,,,,""
2025-08-25,Lat Pulldown,Back,85.0,lbs,7,,,,""
2025-08-25,Lat Pulldown,Back,85.0,lbs,4,,,,""
2025-08-25,Dumbbell Curl,Biceps,25.0,lbs,5,,,,""
2025-08-25,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-08-25,Dumbbell Curl,Biceps,15.0,lbs,5,,,,""
2025-08-26,Barbell Squat,Legs,75.0,lbs,10,,,,""
2025-08-26,Barbell Squat,Legs,75.0,lbs,10,,,,"12 height, 4 guard"
2025-08-26,Barbell Squat,Legs,80.0,lbs,8,,,,"Pull hips in and push chest out"
2025-09-05,Flat Barbell Bench Press,Chest,95.0,lbs,4,,,,""
2025-09-05,Flat Barbell Bench Press,Chest,95.0,lbs,3,,,,""
2025-09-05,Flat Barbell Bench Press,Chest,90.0,lbs,4,,,,""
2025-09-05,Flat Barbell Bench Press,Chest,90.0,lbs,3,,,,""
2025-09-05,Cable Overhead Triceps Extension,Triceps,40.0,lbs,8,,,,""
2025-09-05,Cable Overhead Triceps Extension,Triceps,40.0,lbs,4,,,,""
2025-09-05,Cable Overhead Triceps Extension,Triceps,40.0,lbs,4,,,,""
2025-09-05,Dumbbell Curl,Biceps,25.0,lbs,8,,,,""
2025-09-05,Dumbbell Curl,Biceps,25.0,lbs,4,,,,""
2025-09-05,Pull Up,Back,0.0,lbs,3,,,,""
2025-09-05,Pull Up,Back,0.0,lbs,2,,,,""
2025-09-05,Dumbbell Curl,Biceps,25.0,lbs,4,,,,""
2025-09-06,Barbell Squat,Legs,75.0,lbs,10,,,,""
2025-09-06,Barbell Squat,Legs,75.0,lbs,10,,,,""
2025-09-06,Barbell Squat,Legs,80.0,lbs,10,,,,""
2025-09-06,Seated Leg Curl Machine,Legs,40.0,lbs,4,,,,"Did it wrong"
2025-09-06,Seated Leg Curl Machine,Legs,30.0,lbs,4,,,,"Unsure if form is right"
2025-09-06,Seated Leg Curl Machine,Legs,30.0,lbs,8,,,,""
2025-09-06,Seated Leg Curl Machine,Legs,30.0,lbs,20,,,,""
2025-09-08,Flat Barbell Bench Press,Chest,100.0,lbs,6,,,,""
2025-09-08,Flat Barbell Bench Press,Chest,105.0,lbs,5,,,,""
2025-09-08,Flat Barbell Bench Press,Chest,105.0,lbs,3,,,,""
2025-09-08,Flat Barbell Bench Press,Chest,100.0,lbs,3,,,,""
2025-09-08,Dumbbell Curl,Biceps,25.0,lbs,8,,,,"Gripping hard and going to complete peak now"
2025-09-08,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-09-08,Lat Pulldown,Back,85.0,lbs,5,,,,"Too heavy, reducing weight to ensure proper form"
2025-09-08,Lat Pulldown,Back,75.0,lbs,10,,,,""
2025-09-08,Lat Pulldown,Back,75.0,lbs,6,,,,"Form is starting to be weird"
2025-09-08,Cable Overhead Triceps Extension,Triceps,45.0,lbs,5,,,,"Arms are wider out with a completely straight bar, significantly more challenging"
2025-09-08,Cable Overhead Triceps Extension,Triceps,40.0,lbs,6,,,,""
2025-09-08,Cable Overhead Triceps Extension,Triceps,40.0,lbs,4,,,,""
2025-09-08,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-09-08,Lat Pulldown,Back,75.0,lbs,5,,,,""
2025-09-12,Flat Dumbbell Bench Press,Chest,30.0,lbs,10,,,,""
2025-09-12,Flat Dumbbell Bench Press,Chest,30.0,lbs,7,,,,""
2025-09-22,Flat Barbell Bench Press,Chest,105.0,lbs,6,,,,""
2025-09-22,Flat Barbell Bench Press,Chest,105.0,lbs,5,,,,""
2025-09-22,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-09-22,Lat Pulldown,Back,85.0,lbs,6,,,,"Not ideal form"
2025-09-22,Lat Pulldown,Back,75.0,lbs,9,,,,"Forearms tired first"
2025-09-22,Lat Pulldown,Back,75.0,lbs,8,,,,"Mainly forearms tiring"
2025-09-22,Lat Pulldown,Back,75.0,lbs,4,,,,""
2025-09-22,Dumbbell Curl,Biceps,25.0,lbs,5,,,,""
2025-09-22,Dumbbell Curl,Biceps,25.0,lbs,2,,,,""
2025-09-22,Dumbbell Curl,Biceps,25.0,lbs,1,,,,""
2025-09-22,Cable Overhead Triceps Extension,Triceps,40.0,lbs,8,,,,""
2025-09-22,Cable Overhead Triceps Extension,Triceps,40.0,lbs,6,,,,""
2025-09-22,Cable Overhead Triceps Extension,Triceps,40.0,lbs,4,,,,""
2025-09-22,Cable Overhead Triceps Extension,Triceps,40.0,lbs,4,,,,""
2025-09-26,Barbell Squat,Legs,80.0,lbs,12,,,,""
2025-09-26,Barbell Squat,Legs,85.0,lbs,12,,,,""
2025-09-26,Barbell Squat,Legs,90.0,lbs,8,,,,""
2025-09-26,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-09-26,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-09-26,Flat Barbell Bench Press,Chest,105.0,lbs,2,,,,"Weight is too high"
2025-09-26,Flat Barbell Bench Press,Chest,95.0,lbs,3,,,,""
2025-09-26,Flat Barbell Bench Press,Chest,45.0,lbs,5,,,,"Trying to make sure my form is okay"
2025-09-26,Lat Pulldown,Back,75.0,lbs,12,,,,""
2025-09-26,Lat Pulldown,Back,85.0,lbs,7,,,,"Forearms got tired"
2025-09-26,Cable Overhead Triceps Extension,Triceps,45.0,lbs,8,,,,""
2025-09-26,Cable Overhead Triceps Extension,Triceps,45.0,lbs,5,,,,""
2025-09-26,Cable Overhead Triceps Extension,Triceps,45.0,lbs,4,,,,""
2025-09-26,Dumbbell Curl,Biceps,25.0,lbs,7,,,,""
2025-09-26,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-09-26,Dumbbell Curl,Biceps,25.0,lbs,2,,,,""
2025-09-26,Lat Pulldown,Back,85.0,lbs,5,,,,""
2025-09-29,Lat Pulldown,Back,75.0,lbs,12,,,,""
2025-09-29,Lat Pulldown,Back,85.0,lbs,9,,,,""
2025-09-29,Lat Pulldown,Back,85.0,lbs,7,,,,""
2025-09-29,Lat Pulldown,Back,85.0,lbs,5,,,,"Forearms tored first"
2025-09-29,Wrist Curls In,Arms,25.0,lbs,13,,,,"20 left, 13 right"
2025-09-29,Wrist Curls In,Arms,25.0,lbs,10,,,,""
2025-09-29,Wrist Curls In,Arms,25.0,lbs,15,,,,""
2025-09-29,Barbell Squat,Legs,90.0,lbs,12,,,,""
2025-09-29,Barbell Squat,Legs,95.0,lbs,12,,,,""
2025-09-29,Barbell Squat,Legs,100.0,lbs,6,,,,""
2025-09-29,Flat Barbell Bench Press,Chest,105.0,lbs,8,,,,"Possibly could have done 1 or two more"
2025-09-29,Flat Barbell Bench Press,Chest,105.0,lbs,5,,,,""
2025-09-29,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-09-29,Dumbbell Curl,Biceps,25.0,lbs,7,,,,""
2025-09-29,Dumbbell Curl,Biceps,25.0,lbs,3,,,,""
2025-09-29,Dumbbell Curl,Biceps,25.0,lbs,2,,,,""
2025-09-29,Overhead Press,Shoulders,20.0,lbs,8,,,,""
2025-09-29,Overhead Press,Shoulders,20.0,lbs,9,,,,""
2025-09-29,Overhead Press,Shoulders,25.0,lbs,6,,,,""
2025-10-02,Flat Barbell Bench Press,Chest,105.0,lbs,8,,,,""
2025-10-02,Flat Barbell Bench Press,Chest,105.0,lbs,6,,,,""
2025-10-02,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-10-02,Lateral Dumbbell Raise,Shoulders,10.0,lbs,11,,,,""
2025-10-02,Lateral Dumbbell Raise,Shoulders,10.0,lbs,10,,,,""
2025-10-02,Lateral Dumbbell Raise,Shoulders,10.0,lbs,11,,,,""
2025-10-02,Dumbbell Curl,Biceps,20.0,lbs,10,,,,"Could have done more but stopped to have balance in exercise"
2025-10-02,Dumbbell Curl,Biceps,20.0,lbs,9,,,,""
2025-10-02,Dumbbell Curl,Biceps,20.0,lbs,5,,,,""
2025-10-02,Overhead Press,Shoulders,25.0,lbs,10,,,,""
2025-10-02,Overhead Press,Shoulders,25.0,lbs,8,,,,""
2025-10-02,Overhead Press,Shoulders,25.0,lbs,6,,,,""
2025-10-02,Incline Dumbbell Bench Press,Chest,25.0,lbs,4,,,,"Feeling triceps mainly, doing something wrong"
2025-10-02,Incline Dumbbell Bench Press,Chest,25.0,lbs,5,,,,"Was feeling chest but then switched to tricep??"
2025-10-02,Incline Dumbbell Bench Press,Chest,25.0,lbs,2,,,,"Unsure about the form"
2025-10-02,Cable Overhead Triceps Extension,Triceps,42.5,lbs,7,,,,""
2025-10-02,Cable Overhead Triceps Extension,Triceps,37.5,lbs,2,,,,""
2025-10-02,Cable Overhead Triceps Extension,Triceps,32.5,lbs,5,,,,""
2025-10-02,Wrist Curls In,Arms,25.0,lbs,21,,,,""
2025-10-02,Wrist Curls In,Arms,25.0,lbs,16,,,,""
2025-10-02,Wrist Curls In,Arms,15.0,lbs,27,,,,""
2025-10-03,Lat Pulldown,Back,85.0,lbs,10,,,,""
2025-10-03,Seated Cable Row,Back,60.0,lbs,12,,,,""
2025-10-03,Barbell Squat,Legs,95.0,lbs,11,,,,""
2025-10-03,Seated Cable Row,Back,70.0,lbs,10,,,,"Last rep i used my arms primarily"
2025-10-03,Seated Cable Row,Back,70.0,lbs,8,,,,""
2025-10-03,Lat Pulldown,Back,85.0,lbs,7,,,,"Forearms still an issue"
2025-10-03,Lat Pulldown,Back,85.0,lbs,8,,,,""
2025-10-03,Barbell Squat,Legs,95.0,lbs,11,,,,""
2025-10-03,Barbell Squat,Legs,100.0,lbs,8,,,,"Started feeling the takis chips i ate for morning"
2025-10-06,Dumbbell Curl,Biceps,20.0,lbs,12,,,,""
2025-10-06,Dumbbell Curl,Biceps,20.0,lbs,10,,,,""
2025-10-06,Dumbbell Curl,Biceps,20.0,lbs,8,,,,""
2025-10-06,Pull Up,Back,0.0,lbs,3,,,,""
2025-10-06,Assisted Pull Up,Back,65.0,lbs,10,,,,"Forearms tired out a lot"
2025-10-06,Assisted Pull Up,Back,65.0,lbs,5,,,,""
2025-10-06,Assisted Pull Up,Back,75.0,lbs,6,,,,""
2025-10-06,Flat Dumbbell Bench Press,Chest,30.0,lbs,12,,,,""
2025-10-06,Flat Dumbbell Bench Press,Chest,30.0,lbs,10,,,,""
2025-10-06,Flat Dumbbell Bench Press,Chest,30.0,lbs,8,,,,""
2025-10-08,Flat Barbell Bench Press,Chest,105.0,lbs,8,,,,""
2025-10-08,Flat Barbell Bench Press,Chest,105.0,lbs,6,,,,""
2025-10-08,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-10-08,Assisted Pull Up,Back,70.0,lbs,12,,,,""
2025-10-08,Assisted Pull Up,Back,70.0,lbs,12,,,,""
2025-10-08,Assisted Pull Up,Back,65.0,lbs,8,,,,""
2025-10-08,Cable Overhead Triceps Extension,Triceps,35.0,lbs,8,,,,""
2025-10-08,Seated Cable Row,Back,70.0,lbs,8,,,,""
2025-10-08,Seated Cable Row,Back,55.0,lbs,12,,,,"Emphasis on form"
2025-10-08,Seated Cable Row,Back,60.0,lbs,8,,,,""
2025-10-08,Wrist Curls In,Arms,20.0,lbs,16,,,,""
2025-10-08,Wrist Curls In,Arms,20.0,lbs,15,,,,""
2025-10-08,Wrist Curls In,Arms,20.0,lbs,15,,,,""
2025-10-08,Cable Overhead Triceps Extension,Triceps,35.0,lbs,4,,,,""
2025-10-08,Cable Overhead Triceps Extension,Triceps,25.0,lbs,2,,,,""
2025-10-08,Cable Overhead Triceps Extension,Triceps,15.0,lbs,2,,,,""
2025-10-08,Cable Overhead Triceps Extension,Triceps,10.0,lbs,4,,,,""
2025-10-13,Barbell Squat,Legs,100.0,lbs,10,,,,""
2025-10-13,Barbell Squat,Legs,100.0,lbs,10,,,,""
2025-10-13,Barbell Squat,Legs,105.0,lbs,9,,,,""
2025-10-13,Overhead Press,Shoulders,30.0,lbs,8,,,,""
2025-10-13,Overhead Press,Shoulders,30.0,lbs,6,,,,""
2025-10-13,Overhead Press,Shoulders,30.0,lbs,5,,,,""
2025-10-13,Lateral Dumbbell Raise,Shoulders,10.0,lbs,15,,,,""
2025-10-13,Lateral Dumbbell Raise,Shoulders,10.0,lbs,15,,,,""
2025-10-13,Lateral Dumbbell Raise,Shoulders,10.0,lbs,12,,,,""
2025-10-13,Seated Leg Curl Machine,Legs,45.0,lbs,12,,,,""
2025-10-13,Seated Leg Curl Machine,Legs,45.0,lbs,10,,,,"I would stop for a second at the point of least resistance and then do the next rep"
2025-10-13,Seated Leg Curl Machine,Legs,45.0,lbs,10,,,,"Had to explode up on last two reps"
2025-10-13,Cable Overhead Triceps Extension,Triceps,37.5,lbs,7,,,,""
2025-10-13,Cable Overhead Triceps Extension,Triceps,37.5,lbs,5,,,,""
2025-10-13,Cable Overhead Triceps Extension,Triceps,22.5,lbs,8,,,,""
2025-10-13,Hanging Leg Raise,Abs,0.0,lbs,10,,,,"It's bodyweight"
2025-10-13,Hanging Leg Raise,Abs,0.0,lbs,8,,,,""
2025-10-13,Hanging Leg Raise,Abs,0.0,lbs,4,,,,"Time under tension and i notice that once i reach the height where i feel my abs being used I immediately am forced to go down"
2025-10-20,Overhead Press,Shoulders,30.0,lbs,10,,,,""
2025-10-20,Overhead Press,Shoulders,30.0,lbs,8,,,,""
2025-10-20,Overhead Press,Shoulders,30.0,lbs,5,,,,""
2025-10-20,Lateral Dumbbell Raise,Shoulders,15.0,lbs,10,,,,""
2025-10-20,Lateral Dumbbell Raise,Shoulders,15.0,lbs,8,,,,""
2025-10-20,Lateral Dumbbell Raise,Shoulders,15.0,lbs,6,,,,""
2025-10-20,Barbell Squat,Legs,105.0,lbs,10,,,,""
2025-10-20,Barbell Squat,Legs,105.0,lbs,10,,,,""
2025-10-20,Barbell Squat,Legs,105.0,lbs,10,,,,""
2025-10-20,Cable Overhead Triceps Extension,Triceps,20.0,lbs,9,,,,"Left shoulder cuff area felt a twinge of pain at 37.5 so I lowered for safety"
2025-10-20,Cable Overhead Triceps Extension,Triceps,20.0,lbs,11,,,,""
2025-10-20,Cable Overhead Triceps Extension,Triceps,20.0,lbs,5,,,,"Substantially harder now. Maybe the form is more strict now?"
2025-10-20,Seated Leg Curl Machine,Legs,45.0,lbs,12,,,,""
2025-10-20,Seated Leg Curl Machine,Legs,45.0,lbs,10,,,,"3-3-4 seat all the way up, toes pointed up"
2025-10-20,Seated Leg Curl Machine,Legs,45.0,lbs,10,,,,""
2025-10-20,Hanging Leg Raise,Abs,0.0,lbs,10,,,,""
2025-10-20,Hanging Leg Raise,Abs,0.0,lbs,10,,,,""
2025-10-20,Hanging Leg Raise,Abs,0.0,lbs,10,,,,""
2025-10-20,Flat Barbell Bench Press,Chest,105.0,lbs,6,,,,"Failed at 6reps, was the last exercise of my workout"
2025-10-20,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-10-20,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-10-30,Flat Barbell Bench Press,Chest,105.0,lbs,8,,,,""
2025-10-30,Flat Barbell Bench Press,Chest,105.0,lbs,7,,,,"7th rep was hard as hell"
2025-10-30,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,""
2025-10-30,Seated Cable Row,Back,75.0,lbs,10,,,,"Long attachment, form is off"
2025-10-30,Seated Cable Row,Back,75.0,lbs,6,,,,"Changed to proper attachment, too weak to do properly"
2025-10-30,Seated Cable Row,Back,75.0,lbs,7,,,,"Not strong enough, forearms also gave out pretty much too"
2025-10-30,Dumbbell Curl,Biceps,25.0,lbs,6,,,,""
2025-10-30,Dumbbell Curl,Biceps,25.0,lbs,2,,,,"Not completing third set due to inability to do more than 2 reps"
2025-10-30,Assisted Pull Up,Back,60.0,lbs,10,,,,"Forearms were noticeably tiring out"
2025-10-30,Assisted Pull Up,Back,60.0,lbs,6,,,,"100%, my forearms are tiring. The muscles on the side of my palm are tiring out"
2025-10-30,Assisted Pull Up,Back,70.0,lbs,7,,,,""
2025-11-03,Barbell Squat,Legs,110.0,lbs,10,,,,""
2025-11-03,Barbell Squat,Legs,110.0,lbs,10,,,,""
2025-11-03,Barbell Squat,Legs,110.0,lbs,10,,,,""
2025-11-03,Lateral Dumbbell Raise,Shoulders,17.5,lbs,10,,,,""
2025-11-03,Lateral Dumbbell Raise,Shoulders,17.5,lbs,8,,,,""
2025-11-03,Lateral Dumbbell Raise,Shoulders,17.5,lbs,6,,,,""
2025-11-03,Overhead Press,Shoulders,35.0,lbs,7,,,,""
2025-11-03,Overhead Press,Shoulders,35.0,lbs,4,,,,""
2025-11-03,Overhead Press,Shoulders,35.0,lbs,3,,,,""
2025-11-03,Cable Overhead Triceps Extension,Triceps,30.0,lbs,8,,,,""
2025-11-03,Cable Overhead Triceps Extension,Triceps,30.0,lbs,5,,,,""
2025-11-03,Cable Overhead Triceps Extension,Triceps,20.0,lbs,8,,,,""
2025-11-07,Flat Barbell Bench Press,Chest,105.0,lbs,8,,,,""
2025-11-07,Flat Barbell Bench Press,Chest,105.0,lbs,7,,,,""
2025-11-07,Flat Barbell Bench Press,Chest,105.0,lbs,4,,,,"Tried rep 5 but failed"
2025-11-07,Seated Cable Row,Back,70.0,lbs,12,,,,"I have the strength to do 70 confidently weirdly enough"
2025-11-07,Seated Cable Row,Back,75.0,lbs,12,,,,"What is going on!! I feel my arms at the very end from my grip getting more tired"
2025-11-07,Seated Cable Row,Back,80.0,lbs,8,,,,""
2025-11-07,Dumbbell Curl,Biceps,25.0,lbs,7,,,,""
